m,scenario,effect,segment_length,split_fraction,n_left,n_right,total_length,detector,population_gain,expected_gain_total,mean_raw_gain,mean_score,sd_score,critical_value,null_rate_zero_threshold,power_zero_threshold,power_calibrated,shift_accuracy,n_alt,n_null,alpha,optimizer_failures,seed,pattern_000,pattern_001,pattern_010,pattern_011,pattern_100,pattern_101,pattern_110,pattern_111
2,exact_orbit,0.25,800,0.5,800,800,1600,shared_orbit,0.03029986198076584,48.479779169225345,49.260098636487264,49.260098636487264,9.286924853539954,-34.17547568444661,0.0,1.0,1.0,1.0,500,1000,0.05,0,1002472245,0,0,0,0,0,0,0,500
2,exact_orbit,0.25,1600,0.5,1600,1600,3200,full,0.030299861980765966,96.95955833845109,97.7511964771621,94.40889061332814,13.275914883513105,-1.4091574494853836,0.009,1.0,1.0,,500,1000,0.05,0,3498290983,0,0,0,0,0,0,0,500
2,exact_orbit,0.25,1600,0.5,1600,1600,3200,fundamental,0.03029986198076584,96.95955833845069,97.75119647715898,94.40889061332503,13.275914883513098,-1.4091574494876573,0.009,1.0,1.0,,500,1000,0.05,0,3498290983,0,0,0,0,0,0,0,500
2,exact_orbit,0.25,1600,0.5,1600,1600,3200,shared_orbit,0.03029986198076584,96.95955833845069,97.21889152630028,97.21889152630028,13.298994657796069,-73.96595309926897,0.0,1.0,1.0,1.0,500,1000,0.05,0,3498290983,0,0,0,0,0,0,0,500
2,exact_orbit,0.25,3200,0.5,3200,3200,6400,full,0.030299861980765966,193.91911667690218,193.97962357136882,190.29074411725492,19.52932166182143,-1.6890079170254992,0.008,1.0,1.0,,500,1000,0.05,0,1114210538,0,0,0,0,0,0,0,500
2,exact_orbit,0.25,3200,0.5,3200,3200,6400,fundamental,0.03029986198076584,193.91911667690138,193.9796235713795,190.29074411726563,19.52932166182173,-1.6890079170127663,0.008,1.0,1.0,,500,1000,0.05,0,1114210538,0,0,0,0,0,0,0,500
2,exact_orbit,0.25,3200,0.5,3200,3200,6400,shared_orbit,0.03029986198076584,193.91911667690138,193.48822837050673,193.48822837050673,19.596515655992807,-162.02197964339302,0.0,1.0,1.0,1.0,500,1000,0.05,0,1114210538,0,0,0,0,0,0,0,500
2,independent_fundamental,0.08,100,0.5,100,100,200,full,0.0019176920110870327,0.38353840221740654,0.8779047750303046,-1.0781067276837688,1.225374362969832,-0.24717784329395132,0.041,0.142,0.146,,500,1000,0.05,0,1521184318,409,18,0,0,0,0,7,66
2,independent_fundamental,0.08,100,0.5,100,100,200,fundamental,0.0019176920110870466,0.3835384022174093,0.8779047750304545,-1.078106727683619,1.2253743629698362,-0.24717784329383763,0.041,0.142,0.146,,500,1000,0.05,0,1521184318,409,18,0,0,0,0,7,66
2,independent_fundamental,0.08,100,0.5,100,100,200,shared_orbit,0.001756339186107292,0.3512678372214584,0.34414115086270636,0.34414115086270636,1.403272854924477,1.2024518875379329,0.273,0.528,0.168,,500,1000,0.05,0,1521184318,409,18,0,0,0,0,7,66
2,independent_fundamental,0.08,200,0.5,200,200,400,full,0.0019176920110870327,0.7670768044348131,1.262914760706494,-1.0396703322875513,1.3736471765993474,-0.47826995158619434,0.035,0.184,0.252,,500,1000,0.05,0,3106641041,312,62,0,0,0,0,12,114
2,independent_fundamental,0.08,200,0.5,200,200,400,fundamental,0.0019176920110870466,0.7670768044348186,1.2629147607064568,-1.0396703322875886,1.3736471765993379,-0.4782699515862512,0.035,0.184,0.252,,500,1000,0.05,0,3106641041,312,62,0,0,0,0,12,114
